theme,block,english,japanese
英検４級,5,worried,心配しんぱいした
英検４級,5,made,作つくった
英検４級,5,guess,推測すいそくする
英検４級,5,event,出来事できごと
英検４級,5,sweet,甘あまい
英検４級,5,fruit,果物くだもの
英検４級,5,fourteen,14
英検４級,5,soup,スープ
英検４級,5,science,科学かがく
英検４級,5,drink,飲のむ
英検４級,5,station,駅えき
英検４級,5,seventy,70
英検４級,5,cake,ケーキ
英検４級,5,stand,立たつ
英検４級,5,hope,望のぞむ
英検４級,5,street,通とおり
英検４級,5,friend,友達ともだち
英検４級,5,rise,昇のぼる
英検４級,5,sometimes,時々ときどき
英検４級,5,frog,カエル
英検４級,5,supermarket,スーパー
英検４級,5,small,小ちいさい
英検４級,5,summer,夏なつ
英検４級,5,stop,止とめる
英検４級,5,subject,科目かもく、題目だいもく
英検４級,5,help,助たすける
英検４級,5,green,緑みどり
英検４級,5,here,ここに
英検４級,5,garbage,ゴミ
英検４級,5,by,のそばに、によって
英検４級,5,sister,姉妹しまい
英検４級,5,good,良よい
英検４級,5,seven,7
英検４級,5,family,家族かぞく
英検４級,5,food,食たべ物もの
英検４級,5,hot,暑あつい
英検４級,5,great,素晴すばらしい、広大こうだいな
英検４級,5,hear,聞きく
英検４級,5,funny,可笑おかしい
英検４級,5,festival,祭まつり
英検４級,5,straight,まっすぐに
英検４級,5,telephone,電話でんわ
英検４級,5,forty,40
英検４級,5,sport,スポーツ
英検４級,6,Do,する
英検４級,6,go,行いく
英検４級,6,strong,強つよい
英検４級,6,teacher,先生せんせい
英検４級,6,head,頭あたま
英検４級,6,eighteen,18
英検４級,6,culture,文化ぶんか
英検４級,6,second,2番目ばんめ
英検４級,6,homework,宿題しゅくだい
英検４級,6,language,言語げんご
英検４級,6,swim,泳およぐ
英検４級,6,fast,速はやい
英検４級,6,six,6
英検４級,6,school,学校がっこう
英検４級,6,speak,話はなす
英検４級,6,ship,船ふね
英検４級,6,ten,10
英検４級,6,shopping,買かい物もの
英検４級,6,hospital,病院びょういん
英検４級,6,sing,歌うたう
英検４級,6,famous,有名ゆうめいな
英検４級,6,fifty,50
英検４級,6,shop,店みせ
英検４級,6,season,季節きせつ
英検４級,6,delicious,美味おいしい
英検４級,6,short,短みじかい
英検４級,6,everyone,みんな
英検４級,6,star,星ほし
英検４級,6,soft,柔やわらかい
英検４級,6,from,～から
英検４級,6,happy,幸福こうふくな
英検４級,6,buy,買かう
英検４級,6,Friday,金曜日きんようび
英検４級,6,have,持もっている
英検４級,6,scientist,科学者かがくしゃ
英検４級,6,girl,少女しょうじょ
英検４級,6,theirs,彼かれらのもの
英検４級,6,favorite,お気きに入いりの
英検４級,6,spell,を綴つづる
英検４級,6,September,9月がつ
英検４級,6,Sunday,日曜日にちようび
英検４級,6,beautiful,美うつくしい
英検４級,6,table,机つくえ
英検４級,6,fifteen,15
英検４級,6,desk,机つくえ
英検４級,6,grape,ブドウ
英検４級,6,for,のために
英検４級,6,four,4
英検４級,6,fun,楽たのしみ
英検４級,6,house,家いえ
英検４級,7,temple,お寺てら
英検４級,7,study,勉強べんきょうする
英検４級,7,hand,手て
英検４級,7,snowy,雪ゆきの降ふる
英検４級,7,flower,花はな
英検４級,7,August,8月がつ
英検４級,7,get,得える
英検４級,7,subway,地下鉄ちかてつ
英検４級,7,February,2月がつ
英検４級,7,walk,散歩さんぽ
英検４級,7,together,一緒いっしょに
英検４級,7,umbrella,傘かさ
英検４級,7,the,その
英検４級,7,with,～と一緒いっしょに
英検４級,7,thirteen,13
英検４級,7,usually,普通ふつうは
英検４級,7,who,だれ
英検４級,7,very,非常ひじょうに
英検４級,7,My,私わたしの
英検４級,7,tiger,トラ
英検４級,7,wall,壁かべ
英検４級,7,world,世界せかい、地球ちきゅう
英検４級,7,like,好このむ
英検４級,7,travel,旅行りょこう
英検４級,7,winter,冬ふゆ
英検４級,7,train,列車れっしゃ
英検４級,7,under,下したの
英検４級,7,try,試ためす
英検４級,7,was,でした
英検４級,7,turn,曲まがる、回まわる、変化へんかする
英検４級,7,two,2
英検４級,7,up,上うえへ
英検４級,7,twelve,12
英検４級,7,window,窓まど
英検４級,7,tree,木き
英検４級,7,visit,訪問ほうもんする
英検４級,7,three,3
英検４級,7,Tuesday,火曜日かようび
英検４級,7,this,この
英検４級,7,tower,塔とう
英検４級,7,third,3番目ばんめ
英検４級,7,write,書かく、手紙てがみを書かく
英検４級,7,Wednesday,水曜日すいようび
英検４級,7,town,街まち
英検４級,7,twenty,20
英検４級,7,thirty,30
英検４級,7,to,～へ
英検４級,7,trip,旅行りょこう
英検４級,7,where,どこに
英検４級,7,want,欲ほしい
英検４級,8,welcome,歓迎かんげいする
英検４級,8,white,白しろ
英検４級,8,wonderful,すばらしい
英検４級,8,why,なぜ
英検４級,8,year,年ねん
英検４級,8,yellow,黄色きいろ
英検４級,8,low,低ひくい
英検４級,8,grow,育そだてる
英検４級,8,history,歴史れきし
英検４級,8,wash,洗あらう
英検４級,8,many,多おおくの
英検４級,8,beer,ビール
英検４級,8,doctor,医者いしゃ
英検４級,8,large,大おおきい、広ひろい
英検４級,8,begin,始はじまる
英検４級,8,bridge,橋はし
英検４級,8,December,１２月がつ
英検４級,8,enjoy,楽たのしむ
英検４級,8,all,全部ぜんぶ、全員ぜんいん、全すべて、みな
英検４級,8,eight,8
英検４級,8,or,それとも
英検４級,8,nine,9
英検４級,8,elementary school,小学校しょうがっこう
英検４級,8,absent,欠席けっせきの
英検４級,8,am,いる、ある
英検４級,8,not,～でない
英検４級,8,room,部屋へや
英検４級,8,if,もし～なら
英検４級,8,airplane,飛行機ひこうき
英検４級,8,on,の上うえに
英検４級,8,climb,登のぼる
英検４級,8,sad,悲かなしい
英検４級,8,stopped,止とまった
英検４級,8,a few,いくらかの
英検４級,8,be scared of,が怖こわい
英検４級,8,arrive at,に到着とうちゃくする
英検４級,8,and so on,などなど
英検４級,8,January,1月がつ
英検４級,8,at noon,正午しょうごに
英検４級,8,ask about,～について聞きく
英検４級,8,drum,太鼓たいこ
英検４級,8,Japan,日本にほん
英検４級,8,meet,会あう
英検４級,8,talk to,に話はなしかける
英検４級,8,for example,例たとえば
英検４級,8,reading,読書どくしょ
英検４級,8,elementary school,小学校しょうがっこう
英検４級,8,car,自動車じどうしゃ
英検４級,8,clothes,服ふく
英検４級,8,evening,夕方ゆうがた
英検４級,9,way,道みち、方法ほうほう
英検４級,9,host,主人しゅじん
英検４級,9,say again,もう一度いちど言いう
英検４級,9,hat,帽子ぼうし
英検４級,9,most of,のほとんど
英検４級,9,can,～できる
英検４級,9,number,数かず
英検４級,9,nest,巣す
英検４級,9,listen to,聴きく
英検４級,9,bear,クマ
英検４級,9,go abroad,外国がいこくに行いく
英検４級,9,and,～と
英検４級,9,job,仕事しごと
英検４級,9,November,11月がつ
英検４級,9,become,～になる
英検４級,9,look,見みる
英検４級,9,country,国くに
英検４級,9,cow,ウシ
英検４級,9,bookstore,本屋ほんや
英検４級,9,dinner,夕食ゆうしょく
英検４級,9,afternoon,午後ごご
英検４級,9,March,3月がつ
英検４級,9,dream,夢ゆめ
英検４級,9,take out,持もち帰かえり
英検４級,9,snake,蛇へび
英検４級,9,gave,与あたえた
英検４級,9,show around,に見みせて回まわる
英検４級,9,bag,カバン
英検４級,9,ninety,90
英検４級,9,fine,元気げんきな、晴はれた
英検４級,9,add,加くわえる
英検４級,9,down,下したに
英検４級,9,make own bed,ベッドを整ととのえる
英検４級,9,leave,去さる、残のこす、置おいて行いく
英検４級,9,one day,ある日ひ
英検４級,9,brother,兄弟きょうだい
英検４級,9,again,もう一度いちど、再ふたたび、また
英検４級,9,best,一番いちばん良よい
英検４級,9,walk to,へ歩あるいて行いく
英検４級,9,sat,座すわった
英検４級,9,worry about,について心配しんぱいする
英検４級,9,ask for,～に求もとめる
英検４級,9,let's,さあ～しよう
英検４級,9,bird,鳥とり
英検４級,9,purple,紫色むらさきいろ
英検４級,9,medicine,薬くすり
英検４級,9,clever,利口りこうな
英検４級,9,eighty,80
英検４級,9,big,大おおきい
英検４級,9,sheep,ヒツジ
英検４級,10,look at,を見みる
英検４級,10,field trip,遠足えんそく
英検４級,10,airport,空港くうこう
英検４級,10,play,劇げき
英検４級,10,cold,冷つめたい
英検４級,10,join,参加さんかする
英検４級,10,though,～だけれど
英検４級,10,hurry,急いそぐ
英検４級,10,borrow,借かりる
英検４級,10,that,あれ
英検４級,10,ever,今いままで
英検４級,10,from the experience,経験けいけんから
英検４級,10,meaning,意味いみ
英検４級,10,hard,一生懸命いっしょうけんめいに
英検４級,10,problem,問題もんだい
英検４級,10,baseball,野球やきゅう
英検４級,10,seventeen,17
英検４級,10,about,について、に関かんする
英検４級,10,by bus,バスで
英検４級,10,happiness,幸福こうふく
英検４級,10,call back,折おり返かえし電話でんわする
英検４級,10,think of,思おもい付つく
英検４級,10,south,南みなみ
英検４級,10,did,した
英検４級,10,after,～の後あとで
英検４級,10,eat,食たべる
英検４級,10,blue,青あおい
英検４級,10,black,黒くろい
英検４級,10,easy,簡単かんたんな
英検４級,10,look after,の面倒めんどうを見みる
英検４級,10,practice,練習れんしゅうする
英検４級,10,fool,馬鹿ばか
英検４級,10,decide to,に決きめる
英検４級,10,farewell party,送別会そうべつかい
英検４級,10,player,選手せんしゅ
英検４級,10,Japanese,日本人にほんじん
英検４級,10,afraid,恐おそれて
英検４級,10,bread,パン
英検４級,10,Thursday,木曜日もくようび
英検４級,10,sixteen,16
英検４級,10,chair,椅子いす
英検４級,10,park,公園こうえん
英検４級,10,cat,猫ねこ
英検４級,10,picture,絵え、写真しゃしん
英検４級,10,him,彼かれを(に)
英検４級,10,light,光ひかり
英検４級,10,July,7月がつ
英検４級,10,sleep,眠ねむる
英検４級,10,know,知しっている
英検４級,10,dish,皿さら
英検４級,11,too ～ for,～すぎる
英検４級,11,poem,詩し
英検４級,11,sit down,座すわる
英検４級,11,kind to,に対たいして親切しんせつな
英検４級,11,nurse,看護師かんごし
英検４級,11,box,箱はこ
英検４級,11,neck,首くび
英検４級,11,ate,食たべた
英検４級,11,take care of,の面倒めんどうを見みる
英検４級,11,every minutes,毎分まいふんごとに
英検４級,11,work for,のために働はたらく
英検４級,11,another,もう一ひとつの
英検４級,11,live in,に住すむ
英検４級,11,ear,耳みみ
英検４級,11,get up,起おきる
英検４級,11,me,私わたしを(に)
英検４級,11,mouth,口くち
英検４級,11,die,死しぬ
英検４級,11,May,５月がつ
英検４級,11,difficult,難むずかしい
英検４級,11,nineteen,19
英検４級,11,body,身体からだ
英検４級,11,during,～の間あいだ
英検４級,11,new,新あたらしい
英検４級,11,musician,音楽家おんがくか
英検４級,11,egg,卵たまご
英検４級,11,lend,貸かす
英検４級,11,monkey,サル
英検４級,11,take a rest,休憩きゅうけいする
英検４級,11,math,数学すうがく
英検４級,11,clock,置おき時計どけい
英検４級,11,queen,女王じょおう
英検４級,11,boy,少年しょうねん
英検４級,11,Let us(Let's),～しましょう
英検４級,11,capital,首都しゅと
英検４級,11,in,中なかに
英検４級,11,on weekends,週末しゅうまつに
英検４級,11,million,100万まん
英検４級,11,name,名前なまえ
英検４級,11,away,離はなれて
英検４級,11,brought,持もって来きた
英検４級,11,lived,住すんだ
英検４級,11,map,地図ちず
英検４級,11,our,私わたしたちの
英検４級,11,cook,料理りょうりする
英検４級,11,try on,試着しちゃくする
英検４級,11,strange,奇妙きみょうな
英検４級,11,grandfather,祖父そふ
英検４級,11,someone in need,助たすけが必要ひつような人ひと
英検４級,11,be,である
英検４級,12,stay up,起おきている
英検４級,12,to go,持もち帰かえり
英検４級,12,autumn,秋あき
英検４級,12,birthday,誕生日たんじょうび
英検４級,12,classmate,同級生どうきゅうせい
英検４級,12,night,夜よる
英検４級,12,hall,廊下ろうか
英検４級,12,change,変かわる
英検４級,12,bath,風呂ふろ
英検４級,12,beach,砂浜すなはま
英検４級,12,write down,書かく
英検４級,12,clean,きれいな
英検４級,12,be(get) excited,興奮こうふんをする
英検４級,12,knee,ひざ
英検４級,12,sixty,60
英検４級,12,magazine,雑誌ざっし
英検４級,12,much,たくさん
英検４級,12,English,英語えいご
英検４級,12,time,時とき、～回かい
英検４級,12,choose,選えらぶ
英検４級,12,talk about,について話はなす
英検４級,12,by car,車くるまで
英検４級,12,get along with,うまくやる
英検４級,12,discover,発見はっけんする
英検４級,12,brush,を磨みがく
英検４級,12,day,日ひ
英検４級,12,nose,鼻はな
英検４級,12,bike,自転車じてんしゃ
英検４級,12,farm,農場のうじょう
英検４級,12,one,1
英検４級,12,old,古ふるい
英検４級,12,cap,帽子ぼうし
英検４級,12,police,警察けいさつ
英検４級,12,explain,説明せつめいする
英検４級,12,luck,運うん
英検４級,12,read,読よむ
英検４級,12,grass,草くさ
英検４級,12,north,北きた
英検４級,12,date,日付ひづけ
英検４級,12,learn about,について学まなぶ
英検４級,12,have a headache,頭痛ずつうがする
英検４級,12,always,いつも
英検４級,12,run,走はしる
英検４級,12,saw,見みた
英検４級,12,earth,地球ちきゅう
英検４級,12,cute,可愛かわいい
英検４級,12,stand up,立たつ
英検４級,12,book,本ほん
英検４級,12,place,場所ばしょ
英検４級,12,dry,乾かわいた
英検４級,13,for here,ここで食たべる
英検４級,13,came,来きた
英検４級,13,search for,を探索たんさくする
英検４級,13,color,色いろ
英検４級,13,on your right,右側みぎがわに
英検４級,13,try to,しようとする
英検４級,13,classroom,教室きょうしつ
英検４級,13,advice,忠告ちゅうこく
英検４級,13,Monday,月曜日げつようび
英検４級,13,row,こぐ
英検４級,13,excuse,許ゆるす
英検４級,13,them,彼かれらを(に)
英検４級,13,leave for,へ出でかける
英検４級,13,newspaper,新聞しんぶん
英検４級,13,ruler,定規じょうぎ
英検４級,13,introduce,紹介しょうかいする
英検４級,13,really,本当ほんとうに
英検４級,13,keep in touch,連絡れんらくを取とり合あう
英検４級,13,understood,理解りかいした
英検４級,13,April,4月がつ
英検４級,13,chicken,鶏肉とりにく
英検４級,13,bring,持もって来くる
英検４級,13,go to,へ行いく
英検４級,13,believe,信しんじる
英検４級,13,spring,春はる
英検４級,13,child,子供こども
英検４級,13,on the way,道みちの途中とちゅうで
英検４級,13,in the future,将来しょうらいに
英検４級,13,month,月つき
英検４級,13,salad,サラダ
英検４級,13,is,ある、いる
英検４級,13,beef,牛肉ぎゅうにく
英検４級,13,happen,起おこる
英検４級,13,take it back,取とり戻もどす
英検４級,13,stationery shop,文房具店ぶんぼうぐてん
英検４級,13,pencil,鉛筆えんぴつ
英検４級,13,sang,歌うたった
英検４級,13,over there,あそこに
英検４級,13,mine,私わたしのもの
英検４級,13,entrance ceremony,入学式にゅうがくしき
英検４級,13,horse,馬うま
英検４級,13,wait for,を待まつ
英検４級,13,busy,忙いそがしい
英検４級,13,junior high school,中学校ちゅうがっこう
英検４級,13,lie,嘘うそ
英検４級,13,library,図書館としょかん
英検４級,13,foreign language,外国語がいこくご
英検４級,13,sorry,ごめんなさい
英検４級,13,bicycle,自転車じてんしゃ
英検４級,13,cool,かっこいい
英検４級,14,dog,イヌ
英検４級,14,on the wall,壁かべに
英検４級,14,stand by,そばに立たつ
英検４級,14,eleven,11
英検４級,14,June,6月がつ
英検４級,14,because,なぜなら
英検４級,14,jump,跳とぶ
英検４級,14,carefully,注意ちゅうい深ぶかく
英検４級,14,memory,記憶きおく
英検４級,14,college,大学だいがく
英検４級,14,be born,生うまれる
英検４級,14,even,～さえ
英検４級,14,carry,運はこぶ
英検４級,14,out,外そとに
英検４級,14,exam,試験しけん
英検４級,14,Saturday,土曜日どようび
英検４級,14,learn a lot from,からたくさん学まなぶ
英検４級,14,October,10月がつ
英検４級,14,hungry,空腹くうふくの
英検４級,14,at,で、に
英検４級,14,with a smile,笑顔えがおで
英検４級,14,dictionary,辞書じしょ
英検４級,14,lunch,昼食ちゅうしょく
英検４級,14,museum,博物館はくぶつかん
英検４級,14,red,赤あかい
英検４級,14,between A and B,AとBの間あいだ
英検４級,14,school festival,文化祭ぶんかさい
英検４級,14,life,生活せいかつ
英検４級,14,bright,明あかるい
英検４級,14,breakfast,朝食ちょうしょく
英検４級,14,make,作つくる、～を～にする
英検４級,14,morning,朝あさ
英検４級,14,long,長ながい
英検４級,14,drama,劇げき
英検４級,14,high school,高校こうこう
英検４級,14,sunny,晴はれた
英検４級,14,go straight,まっすぐ行いく
英検４級,14,too,～もまた
英検４級,14,brown,茶色ちゃいろの
英検４級,14,nice,良よい
英検４級,14,cup,カップ
英検４級,14,we,私わたしたちは
英検４級,14,cried,泣ないた
英検４級,14,never,１度どもない
英検４級,14,How about,はどうですか？
英検４級,14,law,法律ほうりつ
英検４級,14,ride,乗のる
英検４級,14,example,例れい
英検４級,14,find,見みつける
英検４級,14,left,左ひだり
英検４級,15,eraser,消けしゴム
英検４級,15,bean,豆まめ
英検４級,15,plan,計画けいかくする
英検４級,15,apple,リンゴ
英検４級,15,eye,目め
英検４級,15,mother,母はは
英検４級,15,sent,送おくった
英検４級,15,mouse,ネズミ
英検４級,15,go back to,に戻もどる
英検４級,15,feel,感かんじる
英検４級,15,help with,を助たすける
英検４級,15,city,市し
英検４級,15,even so,それでも
英検４級,15,on your left,左側ひだりがわに
英検４級,15,try hard,一生懸命いっしょうけんめい
英検４級,15,live abroad,海外かいがいで生活せいかつする
英検４級,15,from now on,これから
英検４級,15,get tired,疲つかれる
英検４級,15,check ～ out,を確認かくにんする
英検４級,15,be interested in,に興味きょうみがある
英検４級,15,from ～ to ～,～から～まで
英検４級,15,be famous for,で有名ゆうめいである
英検４級,15,try on,試着しちゃくする
英検４級,15,try to,試ためす
英検４級,15,work for,のために働はたらく
